model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
DynamicRidge,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,23.711319234828615,57.79062513842796,70.39331423561843,0.4345601394129485,0.4064679515257083,0.581460130748349,5.543150114112122,0.10158996479779275,344.0,direct,2,development
DynamicRidge,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,23.149494256678924,34.96046959872541,71.6892744431431,0.410310606926467,0.40575205114040314,0.5622133071069384,5.4401936978764,0.12646289988555545,28.666666666666668,direct,2,development
SeasonalNaive,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,31.786821705426355,54.60718899961137,166.5197244870042,0.5825608240099449,0.5599431534178035,0.8879277209342932,6.410852713178295,0.11749245249511633,344.0,direct,2,development
SeasonalNaive,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,31.0979012345679,42.48713731345276,162.39319754393918,0.8421352322892349,0.5587896925359973,0.8028851261401592,5.974074074074074,0.5026133955605385,28.666666666666668,direct,2,development
MovingAvg28,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,34.56963554061001,55.97700777894513,129.38715294562755,0.6335617808188515,0.6161335259778744,0.8616235519871995,-7.274723717702738,-0.13332471810813756,344.0,direct,2,development
MovingAvg28,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,33.85104619056914,42.46783982777994,127.07626444544616,0.7447175333082506,0.6132540348778617,0.8076067617647246,-7.161226906703959,0.3425536373085099,28.666666666666668,direct,2,development
NeuralNet,conditional,common,global,12,341,341,313,313,0.9178885630498533,18.9949138964327,32.5960679362039,51.12347774552656,0.3369075791683252,0.375151269156378,0.4914438040097928,-4.819171271765955,-0.08547631937795343,313.0,direct,2,development
NeuralNet,conditional,common,mean_fold,12,341,341,313,313,0.9178885630498533,18.12773090899027,23.908405330449217,49.34400660100169,0.3640934439112972,0.3659758676525837,0.4462219279384567,-4.266445925672008,0.08839036189459286,26.083333333333332,direct,2,development
XGBoost,conditional,common,global,12,341,341,341,313,1.0,16.076876346676496,28.741209798637335,36.926435438015446,0.28515114730604313,0.3323295300563245,0.39754002770496694,-7.461591255550568,-0.13234419804994207,313.0,direct,2,development
XGBoost,conditional,common,mean_fold,12,341,341,341,313,1.0,15.485633275605872,20.458487742484923,36.64301923514616,0.3010222029521506,0.3302325639206418,0.38585019342961785,-6.92601216875882,-0.011082907925178883,26.083333333333332,direct,2,development
LightGBM,conditional,common,global,12,341,341,341,313,1.0,16.46915640693884,30.113924695357607,40.21052523633581,0.2921089111674424,0.32988059264016456,0.41582443516506323,-6.603340570919049,-0.11712164099833752,313.0,direct,2,development
LightGBM,conditional,common,mean_fold,12,341,341,341,313,1.0,15.843986436125123,21.51361612603856,39.27691895616177,0.31164907553357385,0.32602871388387294,0.3940421651072829,-6.1983218789306305,0.010065556096737593,26.083333333333332,direct,2,development
DynamicRidge,conditional,common,global,12,341,341,341,313,1.0,23.82385933132598,59.17993964556082,52.238163509415024,0.42255726019748585,0.3772942779467922,0.5035553301954608,6.73583815653865,0.11947171434218833,313.0,direct,2,development
DynamicRidge,conditional,common,mean_fold,12,341,341,341,313,1.0,23.01489163026279,35.01838856993981,50.440560216882744,0.3888110933779508,0.3691979737368328,0.4651496455006198,6.816095710320261,0.1186942266508813,26.083333333333332,direct,2,development
