model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
NeuralNet,conditional,model_specific,global,12,341,341,341,341,1.0,11.48991045019027,17.415502352040516,44.969319030563184,0.2544029260122643,0.29676240162507306,0.39328398821365473,2.3933599907987304,0.052992387303575555,341.0,direct,1,development
NeuralNet,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,11.410410550786011,15.002619964673919,44.628697909466645,0.25785903988391046,0.29730199656171463,0.3809299595528457,2.2254662584876415,0.06383344192087415,28.416666666666668,direct,1,development
XGBoost,conditional,model_specific,global,12,341,341,341,341,1.0,12.115692950064137,19.413472586897505,34.64965891965743,0.2682586387878625,0.30165913770634395,0.3716825806349055,0.37442718188434054,0.008290349264499716,341.0,direct,1,development
XGBoost,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,11.911988754813798,16.50689054052574,34.52534956269878,0.26827193519607434,0.3003455477063612,0.3643241159010486,0.36124159051470434,0.006452798305366002,28.416666666666668,direct,1,development
LightGBM,conditional,model_specific,global,12,341,341,341,341,1.0,11.626983549937474,18.030185998934748,35.32966439221094,0.25743791900062846,0.2919310125353168,0.36115657110163873,1.1454692449737505,0.025362314949422045,341.0,direct,1,development
LightGBM,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,11.458592644010764,15.426863867757099,35.18186072551316,0.25448709648953527,0.2909126547741247,0.3549770213929884,1.0782959330890212,0.020000088118258093,28.416666666666668,direct,1,development
DynamicRidge,conditional,model_specific,global,12,341,341,341,341,1.0,24.29706624735835,86.00343864770159,66.2014519652161,0.5379715336893187,0.363220213351345,0.5056141699065798,14.117281980178923,0.3125766609467575,341.0,direct,1,development
DynamicRidge,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,23.810754986645083,46.37938202200229,64.84709708296327,0.4507618298591112,0.36157195943927617,0.4728120724403833,13.68900392870036,0.225702517708486,28.416666666666668,direct,1,development
SeasonalNaive,conditional,model_specific,global,12,341,341,341,341,1.0,24.95014662756598,40.15395591910066,151.26328433906448,0.5524316602817999,0.5234801509276577,0.7511887331329598,5.788856304985337,0.12817349522758262,341.0,direct,1,development
SeasonalNaive,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,24.662776631627207,33.85964280291435,146.5491045756177,0.6224499851680034,0.5220090350854296,0.6971910045359525,5.416386432851951,0.2667291878320264,28.416666666666668,direct,1,development
